mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP,mean_overlapping_bboxes_test,class_acc_test,loss_rpn_cls_test,loss_rpn_regr_test,loss_class_cls_test,loss_class_regr_test,curr_loss_test,elapsed_time_test,mAP_test
10.365,0.755,1.0290000000000001,0.44299999999999995,0.499,1.67,3.64,10.575,0.0,12.219000000000001,0.769,0.847,0.42100000000000004,0.478,1.568,3.3139999999999996,1.053,0.0
11.955,0.821,0.574,0.389,0.397,1.262,2.623,9.631,0.0,10.333,0.8240000000000001,0.557,0.379,0.392,1.237,2.5660000000000003,1.0170000000000001,0.0
12.529000000000002,0.83,0.561,0.35200000000000004,0.37799999999999995,1.218,2.509,9.825,0.0,14.885,0.8270000000000001,0.551,0.35100000000000003,0.385,1.214,2.501,1.051,0.0
13.142000000000001,0.826,0.535,0.34299999999999997,0.385,1.179,2.443,9.812000000000001,0.0,15.115,0.828,0.546,0.344,0.379,1.167,2.436,1.143,0.0
13.950999999999999,0.835,0.382,0.354,0.36700000000000005,1.092,2.195,9.874,0.0,13.66,0.835,0.371,0.344,0.364,1.077,2.156,1.074,0.0
13.862,0.841,0.41,0.319,0.358,1.087,2.175,9.846,0.0,13.770999999999999,0.843,0.409,0.32,0.353,1.075,2.158,0.9940000000000001,0.0
14.325999999999999,0.843,0.36200000000000004,0.319,0.355,0.977,2.013,9.751,0.0,15.969000000000001,0.846,0.368,0.315,0.35200000000000004,0.972,2.006,1.057,0.0
13.870999999999999,0.838,0.324,0.303,0.35600000000000004,0.997,1.979,9.806000000000001,0.0,13.958,0.843,0.32799999999999996,0.304,0.35,0.98,1.96,1.015,0.0
15.538,0.836,0.281,0.3,0.361,0.992,1.9340000000000002,10.380999999999998,0.0,13.948,0.836,0.3,0.304,0.361,0.985,1.95,1.069,0.0
14.495999999999999,0.856,0.284,0.276,0.325,0.866,1.7519999999999998,9.875,0.0,16.646,0.856,0.268,0.27,0.324,0.838,1.699,1.064,0.0
14.306,0.84,0.336,0.3,0.35600000000000004,0.943,1.935,10.2,0.0,15.020999999999999,0.843,0.33299999999999996,0.294,0.35200000000000004,0.9359999999999999,1.915,0.992,0.0
13.835,0.8490000000000001,0.273,0.31,0.331,0.884,1.797,10.139,0.0,14.042,0.852,0.261,0.301,0.32899999999999996,0.878,1.768,1.0070000000000001,0.0
14.819,0.855,0.275,0.284,0.33399999999999996,0.8809999999999999,1.774,10.559000000000001,0.0,15.604000000000001,0.856,0.273,0.28,0.33299999999999996,0.866,1.7519999999999998,1.052,0.0
15.19,0.85,0.263,0.27,0.33,0.8340000000000001,1.6980000000000002,10.083,0.0,16.281,0.851,0.262,0.273,0.32899999999999996,0.8270000000000001,1.6909999999999998,1.159,0.0
15.556,0.856,0.247,0.27899999999999997,0.32299999999999995,0.83,1.679,10.091000000000001,0.0,15.698,0.856,0.24100000000000002,0.273,0.325,0.8240000000000001,1.6640000000000001,1.107,0.0
15.489,0.855,0.205,0.254,0.325,0.8009999999999999,1.5859999999999999,9.959,0.0,14.144,0.858,0.21,0.254,0.321,0.789,1.5730000000000002,1.094,0.0
14.735,0.863,0.23800000000000002,0.265,0.307,0.785,1.594,10.111,0.0,16.041,0.865,0.231,0.26,0.305,0.78,1.575,1.024,0.0
15.241,0.851,0.193,0.252,0.33,0.7829999999999999,1.558,10.41,0.0,15.25,0.851,0.2,0.251,0.33,0.785,1.5659999999999998,1.062,0.0
16.095,0.855,0.183,0.245,0.32,0.765,1.514,10.605,0.0,14.375,0.858,0.19399999999999998,0.245,0.315,0.763,1.517,1.05,0.0
15.963,0.878,0.151,0.226,0.284,0.659,1.32,9.924,0.0,14.24,0.88,0.145,0.22399999999999998,0.276,0.645,1.2890000000000001,1.093,0.0
14.911,0.866,0.214,0.251,0.303,0.72,1.489,10.24,0.0,15.216,0.867,0.207,0.245,0.303,0.716,1.4709999999999999,0.991,0.0
15.218,0.878,0.158,0.244,0.289,0.688,1.379,9.842,0.0,15.165,0.882,0.155,0.23800000000000002,0.282,0.6679999999999999,1.3430000000000002,0.97,0.0
15.429,0.8590000000000001,0.16399999999999998,0.235,0.312,0.715,1.426,9.99,0.0,16.113,0.858,0.163,0.233,0.315,0.7090000000000001,1.419,0.9990000000000001,0.0
15.253,0.865,0.179,0.22899999999999998,0.306,0.7040000000000001,1.4180000000000001,10.137,0.0,16.865,0.8640000000000001,0.177,0.23,0.309,0.691,1.4069999999999998,1.05,0.0
15.435,0.8690000000000001,0.162,0.237,0.299,0.6890000000000001,1.3880000000000001,10.134,0.0,14.344000000000001,0.8690000000000001,0.15,0.22899999999999998,0.3,0.6890000000000001,1.368,1.0270000000000001,0.0
14.282,0.879,0.14400000000000002,0.214,0.28300000000000003,0.665,1.306,10.096,0.0,13.635,0.88,0.146,0.212,0.28,0.65,1.288,1.046,0.0
12.988,0.888,0.156,0.21899999999999997,0.26,0.647,1.2819999999999998,10.05,0.0,14.34,0.885,0.14800000000000002,0.21600000000000003,0.262,0.645,1.271,1.079,0.0
15.048,0.879,0.132,0.217,0.282,0.6679999999999999,1.2990000000000002,10.047,0.0,14.763,0.8809999999999999,0.131,0.21600000000000003,0.28,0.6609999999999999,1.288,0.95,0.0
16.063,0.8740000000000001,0.133,0.20600000000000002,0.289,0.645,1.273,10.353,0.0,14.536,0.873,0.141,0.204,0.29100000000000004,0.635,1.271,1.065,0.0
15.709000000000001,0.889,0.10400000000000001,0.182,0.257,0.52,1.063,10.174,0.0,16.646,0.889,0.10300000000000001,0.179,0.256,0.507,1.045,1.11,0.0
14.659,0.885,0.157,0.21,0.273,0.623,1.264,10.464,0.0,13.918,0.885,0.152,0.207,0.273,0.617,1.249,1.035,0.0
15.499,0.8859999999999999,0.128,0.213,0.264,0.609,1.213,10.302999999999999,0.0,16.688,0.888,0.11800000000000001,0.205,0.262,0.589,1.175,0.995,0.0
16.410999999999998,0.878,0.109,0.195,0.276,0.611,1.1909999999999998,10.675999999999998,0.0,16.845,0.882,0.11,0.195,0.27,0.59,1.165,1.041,0.0
15.665999999999999,0.8809999999999999,0.131,0.195,0.282,0.603,1.21,10.29,0.0,16.719,0.882,0.128,0.19399999999999998,0.27899999999999997,0.597,1.199,1.056,0.0
15.171,0.88,0.11599999999999999,0.196,0.27399999999999997,0.578,1.165,10.088,0.0,15.969000000000001,0.8809999999999999,0.109,0.18899999999999997,0.271,0.5670000000000001,1.136,1.045,0.0
15.84,0.8909999999999999,0.124,0.183,0.25,0.56,1.117,10.195,0.0,15.093,0.892,0.11900000000000001,0.18100000000000002,0.24600000000000002,0.5429999999999999,1.088,0.9690000000000001,0.0
14.487,0.892,0.105,0.18600000000000003,0.248,0.555,1.094,10.154,0.0,15.083,0.895,0.10099999999999999,0.18100000000000002,0.245,0.547,1.075,1.002,0.0
14.814,0.878,0.086,0.182,0.272,0.5720000000000001,1.112,10.093,0.0,14.042,0.88,0.085,0.179,0.26899999999999996,0.557,1.089,0.9520000000000001,0.0
14.8,0.89,0.092,0.177,0.259,0.544,1.072,10.219,0.0,13.577,0.89,0.091,0.174,0.257,0.537,1.058,0.998,0.0
14.862,0.904,0.061,0.151,0.22399999999999998,0.445,0.8809999999999999,9.96,0.0,16.385,0.905,0.057999999999999996,0.14800000000000002,0.22399999999999998,0.444,0.875,1.101,0.0
14.407,0.8859999999999999,0.092,0.17800000000000002,0.26,0.5479999999999999,1.078,10.051,0.0,13.417,0.888,0.083,0.172,0.255,0.531,1.041,0.977,0.0
14.13,0.894,0.105,0.17600000000000002,0.245,0.494,1.0190000000000001,9.844,0.0,14.937999999999999,0.895,0.10400000000000001,0.16899999999999998,0.245,0.484,1.002,0.9359999999999999,0.0
14.200999999999999,0.887,0.084,0.163,0.26,0.536,1.044,9.898,0.0,14.776,0.888,0.08,0.161,0.258,0.518,1.016,0.995,0.0
14.543,0.887,0.09699999999999999,0.165,0.259,0.521,1.042,10.058,0.0,15.763,0.887,0.09300000000000001,0.163,0.259,0.511,1.026,1.048,0.0
14.587,0.894,0.094,0.16399999999999998,0.245,0.508,1.011,10.02,0.0,14.417,0.894,0.092,0.16,0.24600000000000002,0.5,0.998,1.021,0.0
14.875,0.899,0.081,0.14800000000000002,0.23399999999999999,0.483,0.946,9.943999999999999,0.0,15.208,0.9,0.07400000000000001,0.14400000000000002,0.22899999999999998,0.46799999999999997,0.915,0.934,0.0
13.228,0.899,0.094,0.15,0.23399999999999999,0.483,0.9620000000000001,10.002,0.0,13.370999999999999,0.9,0.092,0.14800000000000002,0.235,0.495,0.9690000000000001,0.987,0.0
14.148,0.8909999999999999,0.10400000000000001,0.157,0.248,0.499,1.008,10.295,0.0,14.530999999999999,0.892,0.096,0.151,0.245,0.48200000000000004,0.9740000000000001,0.948,0.0
14.352,0.904,0.08199999999999999,0.136,0.22699999999999998,0.425,0.87,10.054,0.0,13.052,0.905,0.084,0.133,0.22399999999999998,0.41100000000000003,0.852,1.074,0.0
